Country,University,Website
United Kingdom,University of Stirling,https://www.stir.ac.uk/research/engineering-electronics/
United Kingdom,University of Strathclyde,https://www.strath.ac.uk/research/subjects/electronicelectricalengineering/instituteforenergyenvironment/powerelectronicsdrivesenergyconversion/
United Kingdom,University of Surrey,https://www.surrey.ac.uk/engineering/electrical-and-electronic-engineering
United Kingdom,University of Sussex,https://www.sussex.ac.uk/engineering/
United Kingdom,University of Warwick (WMG),https://warwick.ac.uk/fac/sci/wmg/research/research-areas/power-electronics-machines-and-drives/
United Kingdom,University of Westminster,https://www.westminster.ac.uk/about-us/schools-and-colleges/school-of-computed-science-and-engineering.html
United Kingdom,Brunel University of London,http://www.brunel.ac.uk
United Kingdom,The University of Edinburgh,http://www.ed.ac.uk
United Kingdom,Cardiff University,http://www.cardiff.ac.uk
United Kingdom,University of Leeds,http://www.leeds.ac.uk
United Kingdom,University of Sunderland,http://www.sunderland.ac.uk
United Kingdom,University of Exeter,http://www.exeter.ac.uk

